case_number,date,time,offense_type,location,arrest_info,offense_category,latitude,longitude,formatted_address,google_maps_uri,place_types,location_interpretation
25-00832,2/26/2025,1529,Grand theft:money/labor/property - All other larceny (F),926 RAMONA ST,,Theft,37.4416825,-122.15685870000002,"926 Ramona St, Palo Alto, CA 94301, USA",https://maps.google.com/?cid=7685895106322937322,"premise,street_address",street_address_or_premise
25-01082,3/17/2025,2055,Vandalism:deface property (M),.2300 BRYANT ST,,Property Crime,37.4315579,-122.1393159,"2300 Bryant St, Palo Alto, CA 94301, USA","https://maps.google.com/?q=2300+Bryant+St,+Palo+Alto,+CA+94301,+USA&ftid=0x808fbafb687cb89f:0x21a9da617c22a6b4",street_address,street_address_or_premise
25-01108,3/18/2025,1825,Vandalism:deface property (F),.2100 WEBSTER ST,,Property Crime,37.437047799999995,-122.13822999999998,"2100 Webster St, Palo Alto, CA 94301, USA","https://maps.google.com/?q=2100+Webster+St,+Palo+Alto,+CA+94301,+USA&ftid=0x808fbafd9e8525ef:0x6fbe6401d07bd261",street_address,street_address_or_premise
25-01149,3/21/2025,638,Vehicle Accident/Injury,E CHARLESTON RD/ALMA ST,,Traffic Incidents,37.414802099999996,-122.11848239999998,"E Charleston Rd & Alma St, Palo Alto, CA 94306, USA","https://maps.google.com/?q=E+Charleston+Rd+%26+Alma+St,+Palo+Alto,+CA+94306,+USA&ftid=0x808fba65518a94fd:0x85f5f8408949eb15",intersection,intersection
25-01214,3/26/2025,1659,Vehicle Accident/Non Injury,.3900 ALMA ST,,Traffic Incidents,37.4135328,-122.11643259999998,"3900 Alma St, Palo Alto, CA 94306, USA","https://maps.google.com/?q=3900+Alma+St,+Palo+Alto,+CA+94306,+USA&ftid=0x808fba705bcf649b:0xa6cdbc5f3c460da7",street_address,street_address_or_premise
25-80226,3/31/2025,1020,Petty theft - From motor vehicle (M),328 MIDDLEFIELD RD,,Vehicle Crime,37.4517781,-122.15898770000001,"328 Middlefield Rd, Palo Alto, CA 94301, USA",https://maps.google.com/?cid=12287128104588453728,"premise,street_address",street_address_or_premise
25-80227,3/31/2025,1139,Vandalism:deface property (M),4180 EL CAMINO REAL,,Property Crime,37.4108121,-122.1245258,"4180 El Camino Real, Palo Alto, CA 94306, USA",https://maps.google.com/?cid=3203124993806327495,"premise,street_address",street_address_or_premise
25-80229,3/31/2025,1451,Hit and run with vehicle/property damage only (M),200 PASTEUR DR,,Traffic Incidents,37.4337531,-122.1775506,"200 Pasteur Dr, Palo Alto, CA 94304, USA",https://maps.google.com/?cid=13079998141728758955,"premise,street_address",street_address_or_premise
25-80230,3/31/2025,1740,Vehicle Accident/Non Injury,855 EL CAMINO REAL,,Traffic Incidents,37.4389939,-122.1588204,"855 El Camino Real, Palo Alto, CA 94301, USA",https://maps.google.com/?cid=11118077703284017645,street_address,street_address_or_premise
25-80231,3/31/2025,1752,Vehicle Accident/Non Injury,FOOTHILL EXPR/ARASTRADERO RD,,Traffic Incidents,37.401136,-122.1367515,"4001 Miranda Ave, Palo Alto, CA 94306, USA",https://maps.google.com/?cid=1530696373888283326,"corporate_office,point_of_interest,establishment",specific_place
