case_number,date,time,offense_type,location,arrest_info,offense_category,latitude,longitude,formatted_address,google_maps_uri,place_types,location_interpretation
25-00822,2/25/2025,2035,Burglary - From motor vehicle (F),445 BRYANT ST,,Vehicle Crime,37.446657200000004,-122.1619412,"445 Bryant St, Palo Alto, CA 94301, USA",https://maps.google.com/?cid=1487843547148381158,"premise,street_address",street_address_or_premise
25-00820,2/25/2025,2035,Burglary - From motor vehicle (F),445 BRYANT ST,,Vehicle Crime,37.446657200000004,-122.1619412,"445 Bryant St, Palo Alto, CA 94301, USA",https://maps.google.com/?cid=1487843547148381158,"premise,street_address",street_address_or_premise
25-00825,2/25/2025,2100,Burglary - From motor vehicle (F),430 EMERSON ST,,Vehicle Crime,37.4449642,-122.16372329999999,"430 Emerson St, Palo Alto, CA 94301, USA",https://maps.google.com/?cid=11994947671914845047,"premise,street_address",street_address_or_premise
25-00893,3/3/2025,1227,Burglary - Burglary/breaking and entering (F),2719 BRYANT ST,,Burglary,37.4284009,-122.13395349999998,"2719 Bryant St, Palo Alto, CA 94306, USA",https://maps.google.com/?cid=17766761195650604403,"premise,street_address",street_address_or_premise
25-00914,3/4/2025,1422,Petty theft - From building (M),535 EVERETT AVE,,Theft,37.4506893,-122.1615372,"535 Everett Ave, Palo Alto, CA 94301, USA",https://maps.google.com/?cid=8016323472074271083,"premise,street_address",street_address_or_premise
25-00954,3/7/2025,1237,Burglary - Burglary/breaking and entering (F),444 HIGH ST,,Burglary,37.444212799999995,-122.1640033,"444 High St, Palo Alto, CA 94301, USA",https://maps.google.com/?cid=9268416789425289560,"premise,street_address",street_address_or_premise
25-00964,3/8/2025,1136,Death Unattended,EL CAMINO REAL,,Administrative/Other,37.4203243,-122.1366538,"El Camino Real, Palo Alto, CA, USA","https://maps.google.com/?q=El+Camino+Real,+Palo+Alto,+CA,+USA&ftid=0x808fcb0b782c489d:0x380db039ff6cae75",route,route
25-00971,3/8/2025,1919,Theft of personal property - All other larceny (M),200 UNIVERSITY AVE,,Theft,37.444702,-122.162411,"200 University Ave, Palo Alto, CA 94301, USA",https://maps.google.com/?cid=14195623155327218602,street_address,street_address_or_premise
25-01035,3/13/2025,218,Stored vehicle (expired veh registration),3000 E BAYSHORE RD,,Administrative/Other,37.4393978,-122.1126266,"3000 E Bayshore Rd, Palo Alto, CA 94303, USA","https://maps.google.com/?q=3000+E+Bayshore+Rd,+Palo+Alto,+CA+94303,+USA&ftid=0x808fba4934a60c47:0xbabefd26edaf27d0",street_address,street_address_or_premise
25-80183,3/13/2025,1344,Vehicle Accident/Non Injury,MIDDLEFIELD RD/MONTROSE AVE,,Traffic Incidents,37.4175282,-122.10598999999998,"Middlefield Rd & Montrose Ave, Palo Alto, CA 94306, USA","https://maps.google.com/?q=Middlefield+Rd+%26+Montrose+Ave,+Palo+Alto,+CA+94306,+USA&ftid=0x808fba0d4e569feb:0x3bc3500ed82429d4",intersection,intersection
25-01043,3/13/2025,1428,Suspicious Circumstances,180 EL CAMINO REAL,,Public Order/Disturbance,37.443646199999996,-122.16849889999997,"180 El Camino Real, Palo Alto, CA 94304, USA",https://maps.google.com/?cid=10694182497936204464,street_address,street_address_or_premise
25-80179,3/13/2025,1454,Burglary - From motor vehicle (F),698 EMERSON ST,,Vehicle Crime,37.4431325,-122.16072099999998,"698 Emerson St, Palo Alto, CA 94301, USA",https://maps.google.com/?cid=5063386299516961180,"subpremise,street_address",street_address_or_premise
25-80181,3/13/2025,2105,Grand theft:money/labor/property - All other larceny (F),1788 SAND HILL RD,,Theft,37.4308049,-122.1888001,"1788 Sand Hill Rd, Palo Alto, CA 94304, USA","https://maps.google.com/?q=1788+Sand+Hill+Rd,+Palo+Alto,+CA+94304,+USA&ftid=0x808fa4dac00887b3:0x7a29ca0d4fac2467",street_address,street_address_or_premise
25-80180,3/13/2025,2347,Petty theft - All other larceny (M),95 UNIVERSITY AVE,,Theft,37.4434368,-122.1651672,"95 University Ave, Palo Alto, CA 94301, USA",https://maps.google.com/?cid=3689665010728101625,"premise,street_address",street_address_or_premise
25-80185,3/14/2025,604,Vehicle Accident/Non Injury,582 ADDISON AVE,,Traffic Incidents,37.4452954,-122.1516165,"582 Addison Ave, Palo Alto, CA 94301, USA","https://maps.google.com/?q=582+Addison+Ave,+Palo+Alto,+CA+94301,+USA&ftid=0x808fbb3d827b0c49:0xb6bc8942c9bb37ad",street_address,street_address_or_premise
25-80186,3/14/2025,749,Grand theft:money/labor/property - All other larceny (F),580 ARASTRADERO RD,,Theft,37.407919799999995,-122.1259678,"580 Arastradero Rd, Palo Alto, CA 94306, USA",https://maps.google.com/?cid=5271973100020279067,"premise,street_address",street_address_or_premise
