case_number,date,time,offense_type,location,arrest_info,offense_category,latitude,longitude,formatted_address,google_maps_uri,place_types,location_interpretation
25-01018,3/12/2025,1403,Theft of personal property - Shoplifting (M),3922 MIDDLEFIELD RD,,Theft,37.4187416,-122.11010549999999,"3922 Middlefield Rd, Palo Alto, CA 94303, USA",https://maps.google.com/?cid=10218850953901325291,"subpremise,street_address",street_address_or_premise
25-01069,3/16/2025,2043,Vandalism:deface property (F),900BLK COMMERCIAL ST,,Property Crime,37.4350151,-122.12986009999999,"730 Moreno Ave, Palo Alto, CA 94303, USA",https://maps.google.com/?cid=13877056119207412650,"real_estate_agency,point_of_interest,establishment",specific_place
25-01071,3/17/2025,1019,Take vehicle w/o owners consent/vehicle theft - Motor vehicle theft (F),461 FERNE AVE,,Vehicle Crime,37.4148198,-122.10606829999998,"461 Ferne Ave, Palo Alto, CA 94306, USA",https://maps.google.com/?cid=10630233141898087737,"premise,street_address",street_address_or_premise
25-01074,3/17/2025,1149,Get credit/etc others id - Identity theft (F),3054 STELLING DR,,Fraud/Financial Crime,37.4340702,-122.1212415,"3054 Stelling Dr, Palo Alto, CA 94303, USA",https://maps.google.com/?cid=17892085202743765604,"premise,street_address",street_address_or_premise
25-01087,3/17/2025,2236,Burglary - From motor vehicle (F),RAMONA ST/LYTTON AVE,,Vehicle Crime,37.446103099999995,-122.16349389999999,"Lytton Ave & Ramona St, Palo Alto, CA 94301, USA","https://maps.google.com/?q=Lytton+Ave+%26+Ramona+St,+Palo+Alto,+CA+94301,+USA&ftid=0x808fbb377c27b449:0xef611ef3fbab5aed",intersection,intersection
25-01088,3/17/2025,2306,Burglary - From motor vehicle (F),431 EMERSON ST,,Vehicle Crime,37.445279,-122.1637312,"431 Emerson St, Palo Alto, CA 94301, USA","https://maps.google.com/?q=431+Emerson+St,+Palo+Alto,+CA+94301,+USA&ftid=0x808fbb3766e306ed:0x4d6a52da6fc726ac",street_address,street_address_or_premise
25-01091,3/18/2025,721,Stored vehicle (72 hour notice),.1700 EMBARCADERO RD,,Administrative/Other,37.4496093,-122.11893539999998,"1700 Embarcadero Rd, Palo Alto, CA 94303, USA",https://maps.google.com/?cid=3296326334424451493,"premise,street_address",street_address_or_premise
25-01100,3/18/2025,1202,Get credit/etc others id - Identity theft (F),325 CHANNING AVE,,Fraud/Financial Crime,37.4433472,-122.1565906,"325 Channing Ave, Palo Alto, CA 94301, USA",https://maps.google.com/?cid=17271296085075920389,"premise,street_address",street_address_or_premise
25-01112,3/18/2025,2214,Burglary - From motor vehicle (F),275 FOREST AVE,,Vehicle Crime,37.4442196,-122.15960210000001,"275 Forest Ave, Palo Alto, CA 94301, USA",https://maps.google.com/?cid=95238810619628067,"subpremise,street_address",street_address_or_premise
25-80200,3/18/2025,1622,Petty theft - All other larceny (M),50 EMBARCADERO RD,,Theft,37.4374691,-122.157753,"50 Embarcadero Rd, Palo Alto, CA 94301, USA",https://maps.google.com/?cid=2486590626818643138,"premise,street_address",street_address_or_premise
