case_number,date,time,offense_type,location,arrest_info,offense_category,latitude,longitude,formatted_address,google_maps_uri,place_types,location_interpretation
25-00595,2/11/2025,1203,Theft of personal property - All other larceny (M),270 LELAND AVE,,Theft,37.4309517,-122.1483902,"270 Leland Ave, Palo Alto, CA 94306, USA",https://maps.google.com/?cid=5673381342539477843,"premise,street_address",street_address_or_premise
25-00598,2/11/2025,1350,Thft eldr/depn adlt -$950 - Impersonation (M),EMERSON ST,,Fraud/Financial Crime,37.433729,-122.1453989,"Emerson St, Palo Alto, CA, USA",https://maps.google.com/?cid=7217207255978246931,route,route
25-00598,2/11/2025,1350,Thft eldr/depn adlt -$950 - Impersonation (M),EMERSON ST,,Fraud/Financial Crime,37.433729,-122.1453989,"Emerson St, Palo Alto, CA, USA",https://maps.google.com/?cid=7217207255978246931,route,route
25-00627,2/13/2025,1104,Burglary - From motor vehicle (F),2426 PARK BLVD,,Vehicle Crime,37.428106199999995,-122.14295890000001,"2426 Park Blvd, Palo Alto, CA 94306, USA",https://maps.google.com/?cid=11574212791512852744,"subpremise,street_address",street_address_or_premise
25-00621,2/12/2025,2226,Burglary:first degree - From motor vehicle (F),450 SHERMAN AVE,,Vehicle Crime,37.4253566,-122.1445065,"450 Sherman Ave, Palo Alto, CA 94306, USA","https://maps.google.com/?q=450+Sherman+Ave,+Palo+Alto,+CA+94306,+USA&ftid=0x808fbaef6570eb3f:0x75b70b5d5d560fc2",street_address,street_address_or_premise
25-00622,2/12/2025,2233,Burglary - From motor vehicle (F),LYTTON AVE/BRYANT ST,,Vehicle Crime,37.4467061,-122.16289520000001,"Lytton Ave & Bryant St, Palo Alto, CA 94301, USA","https://maps.google.com/?q=Lytton+Ave+%26+Bryant+St,+Palo+Alto,+CA+94301,+USA&ftid=0x808fbb382c8316e9:0x2dd25110bf5b5f65",intersection,intersection
25-00659,2/15/2025,1146,Stolen Vehicle Recovered,WALTER HAYS DR/ERSTWILD CT,,Vehicle Crime,37.4480542,-122.1380208,"Walter Hays Dr & Erstwild Ct, Palo Alto, CA 94303, USA","https://maps.google.com/?q=Walter+Hays+Dr+%26+Erstwild+Ct,+Palo+Alto,+CA+94303,+USA&ftid=0x808fbb0f9f384ef5:0x965d47132d59fc00",intersection,intersection
25-00660,2/15/2025,1407,Access computer/alter/etc data:devise scheme/etc defraud/etc - False pretenses/swindle/confidence game (F),1074 MORENO AVE,,Fraud/Financial Crime,37.442942699999996,-122.1224386,"1074 Moreno Ave, Palo Alto, CA 94303, USA",https://maps.google.com/?cid=6640221761768775263,"premise,street_address",street_address_or_premise
25-00661,2/15/2025,1523,Burglary - From building (F),276 FAIRFIELD CT,,Burglary,37.4114228,-122.1076384,"276 Fairfield Ct, Palo Alto, CA 94306, USA",https://maps.google.com/?cid=759012013069879019,"premise,street_address",street_address_or_premise
25-00664,2/15/2025,2300,FOUND PROPERTY,275 FOREST AVE,,Administrative/Other,37.4442196,-122.15960210000001,"275 Forest Ave, Palo Alto, CA 94301, USA",https://maps.google.com/?cid=95238810619628067,"subpremise,street_address",street_address_or_premise
